enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Quel est ce monument / lieu ?,IMAGE,La Pyramide,Immeuble emblématique du Plateau conçu par Rinaldo Olivieri (1973).,MOYEN,150,25,Monuments,La Tour Eiffel,La Pyramide,Le Colisée,La Baie de Cocody,img/la-pyramide.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Immeuble emblématique du Plateau conçu par Rinaldo Olivieri (1973).,MOYEN,150,25,Monuments,Dakar,Abidjan,Man,Barcelone,img/la-pyramide.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Basilique Notre-Dame de la Paix,"Plus grande basilique du monde, inaugurée en 1990.",FACILE,100,25,Monuments,La Basilique Notre-Dame de la Paix,Grand-Bassam,La Cathédrale Sacré-Cœur de Daloa,La Sagrada Família,img/la-basilique-notre-dame-de-la-paix.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Yamoussoukro,"Plus grande basilique du monde, inaugurée en 1990.",MOYEN,150,25,Monuments,New York,Rio de Janeiro,Yamoussoukro,Abidjan,img/la-basilique-notre-dame-de-la-paix.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Cathédrale Saint-Paul,Cathédrale du Plateau à l'architecture moderne (1985).,MOYEN,150,25,Monuments,Les Pyramides de Gizeh,La Cathédrale Saint-Paul,La Mosquée de la Riviera Golf,La Baie de Cocody,img/la-cathedrale-saint-paul.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Cathédrale du Plateau à l'architecture moderne (1985).,MOYEN,150,25,Monuments,Barcelone,Man,Assinie,Abidjan,img/la-cathedrale-saint-paul.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,L'Hôtel Ivoire,Complexe hôtelier historique de Cocody.,MOYEN,150,25,Monuments,L'Hôtel Ivoire,Le Mont Nimba,Le Pont de la liane à Man,La Pyramide,img/l-hotel-ivoire.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Complexe hôtelier historique de Cocody.,MOYEN,150,25,Monuments,Abidjan,Yamoussoukro,Londres,Daloa,img/l-hotel-ivoire.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Pont Henri Konan Bédié,"Pont à péage reliant Marcory à Riviera, inauguré en 2014.",MOYEN,150,25,Monuments,La Dent de Man,La Pyramide,Big Ben,Le Pont Henri Konan Bédié,img/le-pont-henri-konan-bedie.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,"Pont à péage reliant Marcory à Riviera, inauguré en 2014.",MOYEN,150,25,Monuments,Rome,Sénégal,Paris,Abidjan,img/le-pont-henri-konan-bedie.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Tour F du Plateau,Gratte-ciel administratif du Plateau.,DIFFICILE,200,25,Monuments,Le Stade Félix Houphouët-Boigny,La Place de la République,La Tour F du Plateau,Le Mont Nimba,img/la-tour-f-du-plateau.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Gratte-ciel administratif du Plateau.,DIFFICILE,200,25,Monuments,Abidjan,Barcelone,Dakar,Région des Montagnes,img/la-tour-f-du-plateau.jpg,,,,,
